Name,Price,FuelType,Image,Brand
Seltos 2026,11.30 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Kia/Seltos-2026/12770/1752756440018/front-left-side-47.jpg,Kia
A6 2026,70 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/A6-2026/12513/1744805231934/front-left-side-47.jpg,Audi
Palisade,40 Lakh,Diesel,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Hyundai-Palisade/6721/1544618814589/front-left-side-47.jpg,Hyundai
Safari EV,32 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Safari-EV/11672/1753362146336/front-left-side-47.jpg,Tata
Model S,1.50 Cr,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tesla/Model-S/5252/1752499273852/front-left-side-47.jpg,Tesla
Tekton,10 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Tekton/9672/1759841621078/front-left-side-47.jpg,Nissan
Q3 2026,48 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Q3-2026/12663/1750157641663/front-left-side-47.jpg,Audi
Inster,12 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Inster/11822/1719495765748/front-left-side-47.jpg,Hyundai
Terrano 2025,10 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Terrano-2025/12267/1753362210011/front-left-side-47.jpg,Nissan
Bigster,12 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Bigster/12268/1735299186563/front-left-side-47.jpg,Renault
Kardian,11 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Kardian/11328/1698322434787/front-left-side-47.jpg,Renault
Avinya,40 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Avinya/12376/1737378615113/front-left-side-47.jpg,Tata
B-SUV 7 Seater,12 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/B-SUV-7-Seater/12272/1753362257515/front-left-side-47.jpg,Nissan
Q5 2026,70 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Q5-2026/11947/1741688731850/front-left-side-47.jpg,Audi
Duster 2025,10 Lakh,Petrol,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Duster-2025/9674/1707741472655/front-left-side-47.jpg,Renault
Elevate EV,18 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Elevate-EV/10256/1753362311118/front-left-side-47.jpg,Honda
Thar E,25 Lakh,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Thar-E/11016/1692114300425/front-left-side-47.jpg,Mahindra
Model X,2 Cr,Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tesla/Model-X/5253/1752498950241/front-left-side-47.jpg,Tesla
